Component Name,Quantity Used,Price per unit,Purchase Link,
Conveyor Belt,1,$65.00,Link,
Wheels,4,$80.63,link,
Trash bins,1,$215.00,link,
4040 extruded aluminum (60cm),1,$29.99,Amazon,
4040 extruded aluminum (200cm),1,$166.16,Amazon,
Electronics box,1,$285.00,link,
Aluminum sheet,1,$499.60,link,
,,"$1,583.27",,
4040 Aluminum Extrusion (40cm),2 (per arm),$22.99,Amazon,
4040 Aluminum Extrusion (25cm),3 (per arm),$14.30,Ebay,
4040 Aluminum Extrusion (60cm),1 (per arm),$18.00 (in pack of 4 $71.99),Amazon,
4040 Aluminum Extrusion (1500),"Total length per arm, requires cutting",$40.99 + s&h (based on location),Openbuilds Part Store,"Note: If cutting extrusions to length, only pruchase single length in red instead of items in blue"
Off Road Casters/Wheels (8 inch),1 (per arm),$23.52,Amazon,
"Steel wire mesh 
0.03” thick, 22 gauge, 24x36cm",1 (for both arms),$83.69,McMaster-Carr,
Mesh retaining brackets,4 (per arm),$18.99 (in pack of 10),Amazon,
4040 T Nuts (Hammerhead),1 (pack of 50),$15.49 (free shipping),Amazon,
4040 outside mounting plate (Middle),2 per arm,$22.99 (4pc),Amazon,
4040 outside mounting plate (Side),2 per arm,$9.99 (4pc),Amazon,
4040 flat strip mounting plate,4 per arm,$36.87 (10pc),Amazon,
,,$401,$610,
Solar Panels,4,$129.99,link,
Solar Charge Controller,1,$39.99,link,
Battery,2,$249.00,link,
Conveyor Motor,1,$413.00,link,
Arduino Mega,1,$36.30,link,
H-Bridge DC Motor Driver,1 per motor,$7.79,link,
DT. Motor,2,$299.99,link,
,,"$2,115.02",,
,,,,
Total Cost,,"$4,099.29",,